Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.28031401012060436,0.030115809975805062,0.21139848796186347,0.372262957865518,0.05406207864487056,0.05438230962265121,-0.0003840811918966506,0.0002788545103071126
R2,,0.6,0.2,1,,-0.2781712153635302,0.028228296432763884,0.208931432963052,0.3640581012054845,0.05357762429289147,0.05389654029148141,-0.0003514142560312227,0.00026220436062309604
R3,,0.6,0.2,1,,-0.15092929863553586,0.026948334952774537,0.10741251770901328,0.40355125210218235,0.030041004703059808,0.02713024803423638,-9.838000667565314e-05,2.4304354968151948e-05
R4,,0.6,0.2,1,,-0.13340905115649482,0.016591239000770218,0.12731185910712833,0.47977876619363397,0.029685651101878627,0.031053740853870665,-3.610368932370614e-05,2.5940610110014615e-05
R5,,0.6,0.2,1,,-0.14016169294377467,0.017284444995668398,0.12042843851651452,0.4408544678725819,0.02899040174325261,0.030089333973592286,-5.270951578477216e-05,2.5091628891872424e-05
R6,,0.6,0.2,2,,-0.12781787265132935,0.011985039866225863,0.11072303239193312,0.454399146868996,0.024090268483738575,0.028064527014186182,-3.146292201883939e-05,1.7692692458432194e-05
R7,,0.6,0.2,2,,-0.1350582504384868,0.01078489942635202,0.1317864618013098,0.44174538001882446,0.030405570835763257,0.032515923173612155,-8.064967487479417e-06,2.6084869781518927e-05
R8,,0.6,0.2,2,,-0.13430102548620967,0.010493317785019551,0.13073733856236974,0.43639904012609954,0.030354062175759308,0.03229547325592641,-7.07563451286118e-06,2.517704141953724e-05
R9,,0.6,0.2,2,,-0.24324342631558052,0.03273657491798224,0.19324201064370486,0.4047309471313627,0.050109221451049575,0.048638522812554624,-0.00030707574549901573,0.00018811780321711594
R10,,0.6,0.2,2,,-0.13148051787834866,0.0089404028893395,0.12304410714373104,0.42721304748299066,0.0278983485367306,0.030843177694839442,-9.322666178423558e-06,2.120427400560914e-05
R11,,0.6,0.2,3,,-0.20357256082381808,0.01703884973617082,0.1855726850271696,0.40414917927394245,0.04530291025990918,0.04637680936630295,-6.257202743351981e-05,0.00011258003004327303
R12,,0.6,0.2,3,,-0.20003900395521598,0.017534286008554154,0.1805109506653757,0.4130877648085427,0.04339955865619858,0.045172215627159375,-7.378403875582727e-05,0.00010507836508120695
R13,,0.6,0.3,1,,-0.13899269224096522,0.0043673553952770765,0.10556314956642417,0.36689954874060987,0.022143737511560693,0.028426236632217362,-2.210569305783412e-05,1.6408161059242064e-05
R14,,0.6,0.3,1,,-0.23887890074573895,0.015925925751661688,0.2019227088766964,0.3472745652795037,0.05211363027935806,0.05157266487537457,-8.747460507506809e-05,0.00016464651047697076
R15,,0.6,0.3,1,,-0.14135663649307803,0.005075258532224104,0.10716259487120137,0.37259630350015444,0.02238819803848356,0.028815137540850494,-2.5817894373126222e-05,1.7760939160282657e-05
R16,,0.6,0.3,1,,-0.242730373891392,0.01879693777920622,0.20073719294331188,0.3544582499711465,0.05173990296531951,0.05124285815601745,-0.00013264992611757104,0.00017234055697557823
