Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17371778393031648,0.22362658635171798,0.13247770752225888,0.0,0.0,0.0,0.21485497084604574,0.0,0.0,0.25532295134966104
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746359271808134,0.2219407511546414,0.14724466489214738,0.0,0.0,0.0,0.219714944140587,0.0,0.0,0.23646371263181082
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1779914427003242,0.21998804877620162,0.1507957803515801,0.0,0.0,0.0,0.21909054320948287,0.0,0.0,0.2321341849624111
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1754166182303828,0.22326817371514374,0.14764702845850053,0.0,0.0,0.0,0.21738305929356216,0.0,0.0,0.23628512030241078
R5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24233721230972394,0.08847116103021754,0.1471615738031509,0.0,0.0,0.0,0.2406932447254374,0.0,0.0,0.2813368081314703
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21440712965627506,0.1604460183986613,0.13560643939639017,0.0,0.0,0.0,0.21304600634321524,0.0,0.0,0.27649440620545823
R7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2266846374188229,0.1455064477667981,0.14068584621865282,0.0,0.0,0.0,0.22519918140046224,0.0,0.0,0.26192388719526394
R8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22118008222523883,0.14563205259678452,0.1352563622458422,0.0,0.0,0.0,0.21969592291111267,0.0,0.0,0.2782355800210217
R9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527790019438633,0.2717315524442454,0.1846916175635469,0.0,0.0,0.0,0.2321136051754441,0.0,0.0,0.15868422287290024
