Date,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
2018-01-01 00:00:00+05:30,89.0893783569336,381.5813293457031,562.4501342773438,168.06675720214844,453.5730895996094,432.68896484375,1184.2353515625,298.0550231933594,1547.8099365234375,415.2442932128906,187.4941864013672,198.94911193847656,1118.449462890625,8962.494140625,401.8647766113281,283.3663024902344,55.28141403198242,1083.7716064453125
2018-01-02 00:00:00+05:30,87.93585205078125,379.43304443359375,556.4825439453125,167.96939086914062,443.8211059570313,436.8537292480469,1179.038330078125,297.478759765625,1566.9686279296875,413.6973876953125,186.3862152099609,199.59576416015625,1108.7349853515625,8871.6318359375,402.4832763671875,279.81378173828125,55.82488632202149,1077.8724365234375
2018-01-03 00:00:00+05:30,94.53506469726562,389.2196044921875,557.4273681640625,167.05873107910156,445.2388000488281,432.2573852539063,1189.3878173828125,302.569580078125,1553.9102783203125,410.3225402832031,186.6721343994141,198.9789581298828,1131.4022216796875,8744.0,404.0955200195313,279.4447326660156,56.25736999511719,1080.924560546875
2018-01-04 00:00:00+05:30,98.3443603515625,391.3201599121094,556.88037109375,170.82786560058594,449.3630065917969,433.948974609375,1191.0614013671875,302.28143310546875,1569.4945068359375,407.95220947265625,186.9580535888672,199.0386657714844,1167.24365234375,8715.8173828125,406.5250854492188,284.6580810546875,58.1939811706543,1088.482421875
2018-01-05 00:00:00+05:30,103.62911224365234,404.6394348144531,560.2122192382812,176.7201690673828,463.9694213867188,434.8121643066406,1194.8489990234375,300.552490234375,1618.678466796875,406.5861511230469,187.92308044433597,199.5659027099609,1166.5340576171875,8760.0185546875,407.82818603515625,282.6742248535156,58.99390411376953,1101.6322021484375
2018-01-08 00:00:00+05:30,105.39962768554688,403.7801208496094,562.4004516601562,178.89688110351562,443.6492614746094,434.1122741699219,1205.286376953125,301.7530822753906,1639.3621826171875,416.2486267089844,189.8530120849609,200.17271423339844,1187.249267578125,8774.0390625,410.1693115234375,282.1667175292969,58.8446159362793,1111.955322265625
2018-01-09 00:00:00+05:30,105.10454559326172,402.0615539550781,562.251220703125,177.20712280273438,438.0215759277344,434.8355102539063,1199.0325927734375,300.26434326171875,1644.2711181640625,418.37799072265625,193.39132690429688,200.8989105224609,1182.3697509765625,8713.310546875,415.6467895507813,280.7826538085937,59.11635971069336,1109.743408203125
2018-01-10 00:00:00+05:30,106.6604461669922,404.3053283691406,559.7647094726562,175.52223205566406,435.1002197265625,434.9521789550781,1202.996337890625,299.6879577636719,1652.897216796875,422.7572326660156,192.56927490234372,199.4067230224609,1174.3851318359375,8706.1611328125,416.2652587890625,277.8299865722656,59.15845489501953,1149.7247314453125
2018-01-11 00:00:00+05:30,108.21636962890624,406.2626037597656,555.7365112304688,173.3941650390625,442.2745666503906,436.9004211425781,1214.314697265625,297.28662109375,1620.68017578125,432.21881103515625,192.855224609375,202.4706878662109,1174.2080078125,8672.6865234375,414.2332763671875,278.844970703125,59.01302719116211,1143.1298828125
2018-01-12 00:00:00+05:30,107.27745056152344,404.1620788574219,552.1061401367188,172.39590454101562,437.80670166015625,435.2088623046875,1210.21875,305.1630249023437,1625.398193359375,433.2834167480469,191.24688720703125,203.60476684570312,1179.176025390625,8783.5107421875,419.2027587890625,278.8910827636719,58.95943832397461,1137.3331298828125
2018-01-15 00:00:00+05:30,106.33854675292967,401.5841674804688,557.5267333984375,169.2841796875,433.4677429199219,442.7800598144531,1204.2293701171875,316.30523681640625,1603.6181640625,434.3682556152344,191.2826385498047,206.58914184570312,1176.337158203125,8690.00390625,419.2690124511719,279.21405029296875,59.97368240356445,1124.9410400390625
2018-01-16 00:00:00+05:30,104.40705108642578,404.4007263183594,560.1624755859375,164.3365936279297,427.238525390625,443.3400268554688,1217.26513671875,320.9158630371094,1586.651611328125,451.1219177246094,187.06527709960935,205.57444763183597,1176.558837890625,8656.203125,407.6956481933594,273.2625427246094,58.61498641967773,1167.8525390625
2018-01-17 00:00:00+05:30,109.74545288085938,413.8054504394531,582.0438842773438,165.6855010986328,429.5154418945313,441.0885009765625,1207.75244140625,329.70477294921875,1579.836669921875,462.8735046386719,190.1746826171875,204.3508453369141,1200.6453857421875,8648.6376953125,408.38031005859375,283.3663024902344,59.246490478515625,1183.460205078125
2018-01-18 00:00:00+05:30,104.7558135986328,397.4308166503906,581.6460571289062,161.74107360839844,425.3053588867188,451.3078002929688,1195.201171875,332.4903259277344,1601.42578125,463.1145629882813,195.4285125732422,208.21066284179688,1207.2550048828125,8699.521484375,406.260009765625,279.81378173828125,57.5433464050293,1195.442138671875
