Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21542297156973134,0.13980129476956518,0.13017127684669275,0.0,0.0,0.0,0.21781279621421223,0.0,0.0,0.29679166059979845
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23624619945961928,0.1451069447657193,0.12714343831254996,0.0,0.0,0.0,0.20971638410298993,0.0,0.0,0.2817870333591215
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224697124071024,0.1414275110129124,0.139326912212885,0.0,0.0,0.0,0.21307504077530504,0.0,0.0,0.2814734119278735
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22048377975484768,0.14199595735504245,0.1398759197451973,0.0,0.0,0.0,0.21430650887339592,0.0,0.0,0.28333783427151665
R5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23684017269355429,0.14696912275092266,0.1318086303674041,0.0,0.0,0.0,0.2033836877431022,0.0,0.0,0.28099838644501673
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21575992253184223,0.13280448504549516,0.1468528010563741,0.0,0.0,0.0,0.21429839734996467,0.0,0.0,0.29028439401632383
R7,0.08092166097530987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21522926484325383,0.13631559561614012,0.0,0.0,0.0,0.0,0.29556031509575037,0.0,0.0,0.27197316346954575
R8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558394035554777,0.11038123712767656,0.13284500426656692,0.0,0.0,0.0,0.20260891269198225,0.0,0.0,0.29832544235829667
R9,0.0,0.10184711571605172,0.0,0.0,0.0,0.0,0.0,0.0,0.25682132441309163,0.0,0.1372437809995394,0.0,0.0,0.0,0.2041499359970512,0.0,0.0,0.29993784287426595
R10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25344992895992174,0.148593663321753,0.1267510193381201,0.0,0.0,0.0,0.19549177056727102,0.0,0.0,0.2757136178129341
R11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16997325818268855,0.162340074691912,0.14419127546783714,0.0,0.0,0.0,0.23902819843118747,0.0,0.0,0.28446719322637487
R12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2656598972091231,0.1655752994091929,0.08662546153057551,0.0,0.0,0.0,0.18532813968625103,0.0,0.0,0.29681120216485746
R13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24353215734160472,0.15895342092134257,0.13293886078116987,0.0,0.0,0.0,0.1985452760746605,0.0,0.0,0.2660302848812224
R14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2837451523591631,0.14987641338794258,0.11058974283662115,0.0,0.0,0.0,0.16347131037484983,0.0,0.0,0.29231738104142346
R15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19035619940540133,0.15611257536403556,0.1215443170077079,0.0,0.0,0.0,0.23474682870791694,0.0,0.0,0.29724007951493836
R16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24630125752976456,0.1516426862182222,0.13613914048434184,0.0,0.0,0.0,0.18325233955201947,0.0,0.0,0.2826645762156519
R17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26685250601953747,0.16671522906422415,0.09881585419192657,0.0,0.0,0.0,0.1878205680159693,0.0,0.0,0.2797958427083424
R18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736141075908171,0.17768507479581025,0.09757926861607047,0.0,0.0,0.0,0.1970459351492286,0.0,0.0,0.2540756138480735
R19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18126241493958062,0.16890667417196234,0.12729890566910784,0.0,0.0,0.0,0.22702509721450564,0.0,0.0,0.2955069080048436
R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2782580605081295,0.17009812788058495,0.083770962095541,0.0,0.0,0.0,0.18369701785241316,0.0,0.0,0.2841758316633314
R21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26711864707257316,0.18618378205495012,0.08538003903421672,0.0,0.0,0.0,0.1778410635092335,0.0,0.0,0.2834764683290265
R22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26985755854552135,0.184922137537679,0.085029547614093,0.0,0.0,0.0,0.18512593079250664,0.0,0.0,0.2750648255102
R23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15410268955259124,0.16174427619340256,0.13381357204732575,0.0,0.0,0.0,0.2503436902271763,0.0,0.0,0.2999957719795041
R24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15594632337083306,0.15583057235688205,0.1542802979853808,0.0,0.0,0.0,0.2536340488527616,0.0,0.0,0.2803087574341424
R25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2935414445563898,0.165340636729966,0.08380030047282154,0.0,0.0,0.0,0.16309789283944864,0.0,0.0,0.294219725401374
