Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
G1,0.2846654006503114,0.08000007515915857,0.0,0.0,0.0,0.0,0.0,0.1274574346869212,0.0,0.0,0.0,0.24585128740413034,0.0,0.2620258020994785,0.0,0.0,0.0,0.0
G2,0.2999615963140439,0.2395464918725054,0.0,0.24585259918741142,0.0,0.0,0.0,0.0,0.08034801595786523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13429129666817405
G3,0.27684618460077975,0.0827897122896997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2739013894807237,0.0,0.0,0.24914371180849648,0.0,0.0,0.0,0.11731900182030043,0.0
G4,0.2935596435746712,0.21978828520030763,0.0,0.24121320292392717,0.0,0.0,0.0,0.0,0.10218717970351054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1432516885975834
G5,0.2870608114415922,0.0826199047345912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26194672568271293,0.0,0.0,0.22979806438843636,0.0,0.0,0.0,0.13857449375266723,0.0
G6,0.27344090397136894,0.0,0.0,0.0,0.0,0.10188992729111788,0.0,0.0,0.0,0.2620963606385537,0.0,0.0,0.21793315500916863,0.0,0.0,0.0,0.14463965308979096,0.0
G7,0.2805432668071512,0.0918502077320667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676586253428326,0.0,0.0,0.24637519360799276,0.0,0.0,0.0,0.11357270650995674,0.0
G8,0.2831394973448572,0.08651871067404834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2694965426399684,0.0,0.0,0.24657565083533003,0.0,0.0,0.0,0.11426959850579589,0.0
G9,0.2924948689268742,0.08917517331616462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26748398348685065,0.0,0.0,0.24165421247145608,0.0,0.0,0.0,0.10919176179865447,0.0
G10,0.2757557880660536,0.16830279290229055,0.0,0.0,0.0,0.0,0.0,0.12402842989551331,0.13408664830380246,0.29782634083233994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G11,0.27047208346595175,0.18106674358670974,0.0,0.0,0.0,0.0,0.0,0.12194768087704042,0.12814526221245667,0.29836822985784145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G12,0.0,0.0,0.15661551107979038,0.2862390835223597,0.0,0.0,0.0,0.09271895584121628,0.0,0.0,0.2810149221957203,0.0,0.0,0.18341152736091343,0.0,0.0,0.0,0.0
G13,0.2685248329606898,0.0,0.0,0.0,0.0,0.0,0.0,0.17993687302016798,0.0,0.09595232519123523,0.0,0.21866179433478378,0.0,0.2369241744931232,0.0,0.0,0.0,0.0
G14,0.26575083017885515,0.08158871496348559,0.0,0.0,0.0,0.0,0.0,0.1354334604050982,0.0,0.0,0.0,0.2409564614981069,0.0,0.2762705329544541,0.0,0.0,0.0,0.0
G15,0.293678309360273,0.22668623427644513,0.0,0.2402152922406428,0.0,0.0,0.0,0.0,0.09882929091754664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14059087320509242
G16,0.2875642830254113,0.08000007460803667,0.0,0.0,0.0,0.0,0.0,0.12710944207203834,0.0,0.0,0.0,0.24463514448434967,0.0,0.2606910558101641,0.0,0.0,0.0,0.0
G17,0.29936209197836705,0.1917519293314966,0.0,0.0,0.0,0.0,0.0,0.11898196302552885,0.1434771356586691,0.24642688000593843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G18,0.28731846624588575,0.08145118316271492,0.0,0.0,0.0,0.0,0.0,0.13464679495194046,0.0,0.0,0.0,0.23200152840425622,0.0,0.2645820272352026,0.0,0.0,0.0,0.0
G19,0.2417449303894191,0.0,0.0,0.0,0.0,0.13203334970228767,0.0,0.0,0.0,0.23381971818259098,0.0,0.0,0.22508889172801813,0.0,0.0,0.0,0.167313109997684,0.0
G20,0.27441207451342525,0.0,0.0,0.0,0.0,0.0,0.0,0.14559516873930545,0.0,0.09130215971855686,0.0,0.25393607307019883,0.0,0.2347545239585136,0.0,0.0,0.0,0.0
G21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25003781097630357,0.0,0.259282790168431,0.0,0.23293190601700586,0.0,0.17696435978017816,0.0,0.0,0.0,0.08078313305808142
G22,0.2999941513658699,0.2360244189261055,0.0,0.24239009274737208,0.0,0.0,0.0,0.0,0.08799303143440579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13359830552624677
G23,0.2955733928420579,0.22352988356985126,0.0,0.22579430969783493,0.0,0.0,0.0,0.0,0.09058425659349315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16451815729676272
G24,0.299236548539347,0.17044817612861443,0.0,0.0,0.0,0.0,0.0,0.15051287347109746,0.11267266540859416,0.267129736452347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2912976468815509,0.0,0.17377912074832597,0.0,0.25862769179599077,0.0,0.19535058227190133,0.0,0.0,0.0,0.08094495830223104
G26,0.29999995743444025,0.1955655840846484,0.0,0.0,0.0,0.0,0.0,0.0882603548823574,0.0,0.0,0.14464822175997358,0.0,0.2715258818385803,0.0,0.0,0.0,0.0,0.0
G27,0.2031407044306712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10502874299400392,0.0,0.28852635402909466,0.0,0.0,0.17504670640082862,0.22825749214540159
G28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2942708072809527,0.0,0.15183673627949615,0.0,0.2566977962051462,0.0,0.2090815460047034,0.0,0.0,0.0,0.08811311422970158
G29,0.29413981038363185,0.09044612518751685,0.0,0.0,0.0,0.0,0.0,0.1291443410353159,0.0,0.0,0.0,0.23344038617635546,0.0,0.2528293372171799,0.0,0.0,0.0,0.0
G30,0.2904799930055479,0.19581281316902446,0.0,0.0,0.0,0.0,0.0,0.12028965879474252,0.12201224771856309,0.271405287312122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G31,0.27650045811730906,0.08598330164050928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2622089905287428,0.0,0.0,0.2440670778764304,0.0,0.0,0.0,0.13124017183700856,0.0
G32,0.2793825307587784,0.0,0.0,0.0,0.0,0.0,0.0,0.1334939975339289,0.0,0.0,0.09417611183044235,0.2625673264616289,0.0,0.23038003341522134,0.0,0.0,0.0,0.0
G33,0.27095636418407076,0.08396953202628213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2544577870788489,0.0,0.0,0.26625828914531113,0.0,0.0,0.0,0.124358027565487,0.0
G34,0.2888611485658816,0.08360975191330386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538979798157278,0.0,0.0,0.25462247753501,0.0,0.0,0.0,0.11900864217007676,0.0
G35,0.29819471332901964,0.12406401780981437,0.0,0.0,0.0,0.0,0.0,0.15655403318310568,0.0,0.0,0.0,0.20851012620855783,0.0,0.21267710946950255,0.0,0.0,0.0,0.0
G36,0.2979919139015788,0.20127059100125838,0.0,0.0,0.0,0.0,0.0,0.11791551311954229,0.09710194925060098,0.2857200327270195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2754757855321105,0.0,0.13538199838163947,0.0,0.2642778463477884,0.0,0.21941672155996975,0.0,0.0,0.0,0.1054476481784918
G38,0.2998871501464596,0.18352513537881068,0.0,0.0,0.0,0.0,0.0,0.12850992441960674,0.09851509236301254,0.2895626976921104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G39,0.0,0.0,0.28143437163752666,0.1696287408008097,0.1385398772630573,0.0,0.0,0.0,0.0,0.0,0.2619191431966462,0.0,0.0,0.14847786710196004,0.0,0.0,0.0,0.0
G40,0.26204477520645936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24814529575727934,0.0,0.0,0.1966554123522567,0.09955589834659306,0.0,0.0,0.1935986183374115,0.0
G41,0.2724553522711261,0.08830427111915734,0.0,0.0,0.0,0.0,0.0,0.1507099718448655,0.0,0.0,0.0,0.2601733848334695,0.0,0.22835701993138152,0.0,0.0,0.0,0.0
G42,0.0,0.0,0.26125955263800077,0.11200745020589606,0.1730894085094888,0.0,0.0,0.0,0.0,0.0,0.19775894906505603,0.0,0.0,0.2558846395815584,0.0,0.0,0.0,0.0
G43,0.27319808145996916,0.0,0.0,0.0,0.0,0.0,0.0,0.13183472019262835,0.0,0.0,0.09290937543431278,0.2569044513349855,0.0,0.2451533715781043,0.0,0.0,0.0,0.0
G44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267505005448858,0.0,0.17460954410476925,0.0,0.2757630860777572,0.0,0.18318662772563069,0.09893573664298481,0.0,0.0,0.0
G45,0.25240200263712553,0.0,0.0,0.0,0.0,0.0880330460066783,0.0,0.0,0.0,0.2811976822673451,0.0,0.0,0.26225443010743876,0.0,0.0,0.0,0.11611283898141228,0.0
G46,0.2998778441789493,0.17392023761486847,0.0,0.0,0.0,0.0,0.0,0.11436829267066756,0.12313162188176763,0.28870200365374704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G47,0.28594031169355655,0.08176986227098426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26141221710863527,0.0,0.0,0.2508072293272179,0.0,0.0,0.0,0.12007037959960606,0.0
G48,0.2669023568162652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17568094378473553,0.08263142325298158,0.287882564281678,0.0,0.0,0.18690271186433965,0.0
G49,0.28499208542340976,0.22567363872725107,0.0,0.0,0.0,0.0,0.0,0.12797627077890172,0.09943577598066951,0.261922229089768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
