Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.29458999217438936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25863646520893496,0.0,0.0,0.22589471913799475,0.0,0.09288206337244909,0.0,0.1279967601062318,0.0
R2,0.29394032551363997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686929871281746,0.0,0.0,0.22089812112792445,0.0,0.08763153556873957,0.0,0.12883703066152152,0.0
R3,0.2570869855294734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974272407295371,0.2677242915499006,0.0,0.0,0.20376333073476346,0.0,0.0,0.0,0.17399815145632538,0.0
R4,0.2884832711720123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26168689938130957,0.0,0.0,0.2375526122563412,0.0,0.08146302227933633,0.0,0.13081419491100058,0.0
R5,0.2548802046533049,0.0,0.0,0.0,0.0,0.1128792495512034,0.0,0.0,0.0,0.24705784260472735,0.0,0.0,0.22039469634314762,0.0,0.0,0.0,0.1647880068476166,0.0
R6,0.27667949980822054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27194395287457884,0.0,0.0,0.23649302626352542,0.0,0.08041393499924783,0.0,0.13446958605442733,0.0
R7,0.2829501251245412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2761985817145888,0.0,0.0,0.23409276265667256,0.0,0.08080932543860435,0.0,0.1259492050655931,0.0
R8,0.2926415676746973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26475210030892005,0.0,0.0,0.22945087873401446,0.0,0.09396958024976647,0.0,0.11918587303260163,0.0
R9,0.28740167704314507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28393953871772265,0.0,0.0,0.20249596858930669,0.0,0.09030404022510594,0.0,0.13585877542471964,0.0
R10,0.2909548241428043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24216497182138436,0.0,0.0,0.23665216230711084,0.0,0.08279157584616785,0.0,0.14743646588253262,0.0
R11,0.2872497639802211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25846961451789396,0.0,0.0,0.2485289074329355,0.0,0.08371904475681693,0.0,0.1220326693121325,0.0
R12,0.2979505793955538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25104756401837247,0.0,0.0,0.2491277791517439,0.0,0.08132737780381094,0.0,0.1205466996305189,0.0
R13,0.2935383979562032,0.19016954604253183,0.0,0.0,0.0,0.0,0.0,0.1276108993647575,0.10713269312592397,0.2815484635105835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R14,0.20851875045913845,0.1257202031391733,0.0,0.0,0.0,0.0,0.0,0.21177333078566957,0.19717015750458478,0.2568175581114338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R15,0.286051075421539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25562805374092185,0.0,0.0,0.2280560561584435,0.0,0.0945067493133882,0.0,0.1357580653657075,0.0
R16,0.2700962331377754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28384035020918125,0.0,0.0,0.2364328627671718,0.0,0.0843287997615752,0.0,0.12530175412429628,0.0
R17,0.28430266338751026,0.08020781201860176,0.0,0.0,0.0,0.0,0.0,0.17146823732154012,0.0,0.0,0.0,0.2263376667589378,0.0,0.23768362051341002,0.0,0.0,0.0,0.0
R18,0.2985168651924847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2512507968772436,0.0,0.0,0.21708125619810345,0.0,0.09113085346859849,0.0,0.14202022826356978,0.0
R19,0.2964194216307906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24217689835591444,0.0,0.0,0.24586240130575665,0.0,0.0883035896853577,0.0,0.12723768902218058,0.0
R20,0.2702311308887031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654693172527755,0.0,0.10666449334368763,0.2572506166616783,0.0,0.0,0.0,0.10038444185315543,0.0
R21,0.2676281349107258,0.0,0.0,0.0,0.0,0.08731479356520462,0.0,0.0,0.0,0.268497772592256,0.0,0.0,0.24251690655244407,0.0,0.0,0.0,0.1340423923793695,0.0
R22,0.2944869926319126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748601749379494,0.0,0.0,0.23192536727332239,0.0,0.08001683637081022,0.0,0.11871062878600534,0.0
R23,0.2845473041772058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403032882138144,0.0,0.0,0.26724086744020464,0.0,0.08309678425395295,0.0,0.12481175591482221,0.0
R24,0.2988810207102883,0.19700625781696876,0.0,0.0,0.0,0.0,0.0,0.10803737898463484,0.0,0.0,0.13030912285431948,0.0,0.26576621963378855,0.0,0.0,0.0,0.0,0.0
R25,0.2739032835870869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2552822413515422,0.0,0.0,0.2511469514949782,0.0,0.09025286036349975,0.0,0.12941466320289294,0.0
