Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1294,,0.7,0.3,4,,-0.02150956531436733,0.0143337520766631,0.11799735464752253,0.8695450151770511,0.03372248677348837,0.01882502341068235,4.3102476494741316e-05,1.2618828663230711e-06
R1295,,0.7,0.3,4,,-0.040615230173769334,0.01377159477464008,0.14227810598070204,1.1642482957288915,0.02883149873261378,0.022668848324996244,7.245071970051704e-05,3.4548963369115277e-06
R1296,,0.7,0.3,4,,-0.0294989436224631,0.03620861106629589,0.11130430711321258,0.6028229341433642,0.04727835382394457,0.01814218537058306,8.832453279056453e-06,2.1045999142020814e-06
R1297,,0.7,0.3,4,,-0.040677287777042714,0.018507459688802047,0.14498150016573977,1.1047902666059313,0.03301895485160712,0.02324657121542153,6.947685933844888e-05,4.071298889698729e-06
R1298,,0.7,0.3,4,,-0.03012656334952962,0.03703204643136972,0.11301692833400113,0.5674746848937187,0.04911328491780925,0.018476516731464943,9.108479573979695e-06,2.220077618419937e-06
R1299,,0.7,0.3,5,,-0.05766147958149287,0.011705539467659603,0.14164119193719932,0.9090971197456089,0.02922017886314713,0.025812180222388476,7.779992932715071e-05,6.433027054168812e-06
R1300,,0.7,0.3,5,,-0.05634099885623976,0.012228632070700518,0.14359111257697724,0.9677749715733176,0.028745385465828825,0.02562320519870018,7.942473485641063e-05,6.27734547464028e-06
R1301,,0.7,0.3,5,,-0.053361062953992996,0.01253975407452013,0.1421603792297046,0.9809694945286277,0.028939283235659717,0.02502596279143867,7.668484504379613e-05,5.6123219319550945e-06
R1302,,0.7,0.3,5,,-0.01923366266074866,0.011754911842248486,0.11632784185788601,0.9496272055820668,0.03102663117152144,0.01802875448623854,4.304616600800153e-05,9.859498880091554e-07
R1303,,0.7,0.3,5,,-0.05450137818830929,0.012423713092758047,0.1429498997446333,0.9831639552127931,0.028743051953991683,0.025250768869803958,7.799679592847808e-05,5.86447604061274e-06
R1304,,0.7,0.3,5,,-0.02072555796245744,0.011731298574202704,0.11958479491128782,0.888676833668266,0.03264801614885646,0.01900240086911549,4.8220481548331323e-05,1.20291585678503e-06
R1305,,0.7,0.3,5,,-0.009811644398152696,0.00937713702907525,0.06910762730244023,2.6931139463872653,0.010467397919264966,0.007554868636968601,3.5044686043753577e-06,4.322580059988293e-08
R1306,,0.7,0.3,5,,-0.019721140562186715,0.011297680649741251,0.11880527233413558,1.2482103761210002,0.026596421800316156,0.016931358927316606,4.1257930944811936e-05,8.258541284006691e-07
R1307,,0.7,0.3,5,,-0.022831034926935233,-0.0063421300649689994,0.07462474346187889,2.083731306355122,0.0012150176933983532,0.00970457359294478,1.1201376729937766e-05,8.403263511865203e-08
R1308,,0.7,0.3,5,,-0.03311178359185868,0.02270166614314146,0.1269042443324043,0.8291608106677617,0.038535225615607877,0.02107017379870315,4.111178757185633e-05,2.758039383291697e-06
R1309,,0.7,0.3,5,,-0.02321834378463678,0.01278768179250497,0.1206956084087883,0.8284296063736925,0.034139192604885925,0.01971812004863832,4.919786428111431e-05,1.4576059425212056e-06
R1310,,0.7,0.3,5,,-0.025322832785447173,0.015017360400361505,0.12730667559249506,1.0293548410663786,0.03245269024380651,0.01964416341733143,5.179723804081175e-05,1.636340047858894e-06
R1311,,0.7,0.3,5,,-0.052792814619598366,0.012443256874764417,0.14181658156470967,0.9963410169559362,0.028566742373550467,0.024841466973899516,7.601627351499204e-05,5.442457754275367e-06
R1312,,0.7,0.3,5,,-0.011711733010565622,0.007380140044387671,0.06831633193453945,1.4100977166606792,0.014436863316113751,0.009396932449148732,6.984312847993496e-06,8.66733093498631e-08
R1313,,0.7,0.3,5,,-0.027793953692969144,-0.009836665113199541,0.07415416922351388,1.4994319148075366,0.0015789494507987244,0.011662396181525462,1.6970998192298026e-05,1.626636306339734e-07
R1314,,0.7,0.3,5,,-0.03166264679318253,0.02319548853654759,0.12189208255492526,0.7173899974775949,0.04047226216971043,0.020647975676823544,3.5310720426174526e-05,2.4684668952411452e-06
R1315,,0.7,0.3,5,,-0.05245694408226534,0.01311836341008198,0.1404074451776241,0.9639719468744405,0.02943130643333344,0.024754187562798676,7.27367025108772e-05,5.39765946763449e-06
R1316,,0.7,0.3,5,,-0.05768425599939839,0.011675196874137104,0.14152024264324803,0.9074728801438584,0.02921233305080341,0.025807000850693058,7.766165637625147e-05,6.426593313794734e-06
R1317,,0.7,0.3,5,,-0.022863819339969668,0.012094537339804586,0.12112967344131668,0.7635394842583499,0.03544049902842163,0.020212201219218,5.152978489928276e-05,1.5271581183577938e-06
R1318,,0.7,0.3,5,,-0.02496698290210443,0.014878738085733752,0.12706542437612764,1.0375118977242421,0.03226422593766766,0.019534982870147898,5.150874393058145e-05,1.5912426225330776e-06
R1319,,0.7,0.3,5,,-0.023259424838411633,-0.007022863316581627,0.07371522992227095,1.3190630478832794,0.00576700993953107,0.011669095034205157,1.6392745335157147e-05,1.516045539004376e-07
R1320,,0.7,0.3,5,,-0.03188636690180481,0.02176995665367895,0.12432081031670579,0.7809071223035997,0.038797865544141524,0.020836831179438926,4.0058654380759894e-05,2.5187059429852584e-06
R1321,,0.7,0.3,5,,-0.05416280892209283,0.012116180824587285,0.1416390678505918,0.9597021555527445,0.028933735857501388,0.025162652251796955,7.694712438918555e-05,5.719396685959655e-06
R1322,,0.7,0.3,5,,-0.032408817216835605,0.024063084821644563,0.12084108253816639,0.7498426883347746,0.03961675580003707,0.020351723939505247,3.225343242362283e-05,2.4828878353985354e-06
R1323,,0.7,0.3,5,,-0.020245165988573077,0.011651858597989874,0.11641580702017633,0.8346362742326724,0.032948051134799906,0.01881767253961861,4.4913221146603087e-05,1.1424753644626169e-06
R1324,,0.7,0.3,5,,-0.02451418184786528,-0.008033975619026548,0.06861757894524224,2.1917614849807063,-0.001684680178548806,0.009111807084544905,9.065559589270053e-06,6.86538696570527e-08
R1325,,0.7,0.3,5,,-0.031567873264753674,0.023096279271580353,0.11971073219514886,0.7392199457167525,0.03925456367701948,0.020203174172872148,3.270051548584654e-05,2.329805868681149e-06
R1326,,0.7,0.3,5,,-0.05289988529682469,0.012251643169558665,0.1413297531166222,0.9859616687477346,0.0285765303109527,0.024844419568345863,7.577412845803873e-05,5.4278611512983745e-06
