Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,36,0.6,0.4,2,145,-0.14200037009088587,0.007041896121418426,0.1392367361338563,0.38780558587109815,0.03384515206800784,0.0028409606543682324,1.4125637365640081e-05,2.920701955715038e-05
R2,15,0.6,0.2,10,145,-0.1413338300675312,0.006586838877807128,0.13903815173033487,0.38583709962294294,0.0337826871462947,0.002826607259511648,1.6494334750035317e-05,2.8726066532813512e-05
R3,70,0.7,0.2,9,145,-0.14177028992080035,0.006688297818080106,0.1393768716010912,0.38661353065762916,0.033838067150392954,0.002842226260805831,1.6099375584541064e-05,2.9088375029883887e-05
R4,37,0.6,0.4,3,145,-0.14110006388026314,0.006314146459009691,0.13892381609520527,0.3849224585193495,0.03370435480786729,0.002821227519492856,1.7638944899758046e-05,2.852712197200037e-05
R5,5,0.6,0.2,4,145,-0.14331386736715565,0.010299370369219173,0.14072919510284107,0.4007567627243149,0.034881897007481004,0.0028921814852383644,1.9969423309370805e-06,3.123491553342885e-05
R6,54,0.6,0.4,10,145,-0.1416475373110083,0.006291208626710818,0.13922535976150988,0.38403948140214955,0.03379036341544459,0.002836349930031945,1.7628695059701036e-05,2.8834642696861644e-05
R7,33,0.6,0.3,10,145,-0.14190226185274643,0.006945975576684176,0.1396922656259313,0.3866812802595305,0.034057275089427255,0.002849977453129137,1.5636853492479427e-05,2.9283666192194895e-05
R8,62,0.7,0.2,5,145,-0.14190715774281285,0.006101382607324424,0.13928253781612668,0.38283866023680735,0.03376829926137819,0.0028418975692422405,1.815409871710975e-05,2.89025076519919e-05
R9,129,0.8,0.3,10,145,-0.14321478566500262,0.013656065644336933,0.1522920109468707,0.43664354026720525,0.0380668883210073,0.0032129982083121404,8.71978819405745e-06,3.841457275863287e-05
R10,9,0.6,0.2,5,145,-0.12992181440887285,0.009361527141472387,0.13442340577372716,0.43116385212428116,0.03207309034095317,0.0025709613221283458,1.0196624525549455e-05,2.4333525479609426e-05
R11,75,0.7,0.3,4,145,-0.14231176178792287,0.006628158441130068,0.13977296828821695,0.38598282758139396,0.03392162730371116,0.002860399453620402,1.6380007192400713e-05,2.9446399875344953e-05
R12,78,0.7,0.3,6,145,-0.1406950436664631,0.00714719688402859,0.13711045718118306,0.39156682624059685,0.03304359726575139,0.0027722048739426365,1.1101446522377146e-05,2.8012349031695746e-05
R13,134,0.8,0.4,4,145,-0.13975244119476612,0.006654853801020274,0.13808432294681955,0.38849310036126267,0.03350095234410388,0.002781117022104219,1.636232098114407e-05,2.7817611324044403e-05
R14,13,0.6,0.2,8,145,-0.1397010678266237,0.006680872701224192,0.1380534992347566,0.38872511043974617,0.033493339032980456,0.002779641902381436,1.6262234602467347e-05,2.7796169828606195e-05
R15,59,0.7,0.2,3,145,-0.14279723888804924,0.005903558865789423,0.1398515948678551,0.38135730017582503,0.03386153223981762,0.0028699928735063857,1.886491455522941e-05,2.9430172678246977e-05
R16,47,0.6,0.4,7,145,-0.14250577615713608,0.00955883190719833,0.1403436707442849,0.39965214709721764,0.034569293210700874,0.002873475092786202,5.294972933001407e-06,3.060058029872521e-05
R17,126,0.8,0.3,9,145,-0.1418571247122567,0.007285731556441811,0.1396366310303747,0.3889126619147058,0.03405032096353181,0.00284813749935343,1.4159269323071184e-05,2.9367167162459322e-05
R18,116,0.8,0.3,2,145,-0.14191527501417814,0.007345331529095536,0.13984180146148115,0.38863240398534565,0.03416631070881963,0.002853241144875648,1.4307083463249269e-05,2.946230110712651e-05
R19,145,0.8,0.4,10,145,-0.14128100915302838,0.0077964514032235945,0.13894837921477285,0.39255482817532794,0.03387472474246587,0.0028227683440690448,1.1466745197636994e-05,2.9048596217359863e-05
R20,80,0.7,0.3,7,145,-0.1421368138287713,0.008251819102899748,0.13803817731294601,0.39374016797287087,0.03356941926970981,0.002812019952873122,6.71106500500328e-06,2.9151878616649067e-05
R21,31,0.6,0.3,10,145,-0.14290771321410872,0.006202301277115076,0.14014073637501134,0.38208021158893574,0.03404672324542263,0.0028772989075138444,1.8171685566396278e-05,2.964062476202402e-05
R22,92,0.7,0.4,4,145,-0.13953450337725093,0.008879509071150316,0.1360646596381959,0.40736676509136005,0.03258555929089525,0.002737896923524798,3.1303600056023143e-06,2.7952333541172698e-05
R23,123,0.8,0.3,8,145,-0.14083642887868345,0.006724635136353664,0.13637034681402288,0.38714349278950916,0.03286411037165135,0.002753328185663614,1.140883340252309e-05,2.7564496559302732e-05
R24,114,0.8,0.3,1,145,-0.14285681785577228,0.01044649106718773,0.140670174669479,0.4017055564940944,0.03493126686799507,0.0028835059057927335,1.965337841241358e-06,3.1056630790238025e-05
R25,44,0.6,0.4,5,145,-0.14116502843481915,0.006414574444544628,0.13874679214166744,0.3866452938164935,0.03355607166671421,0.002819414563436659,1.666184590037074e-05,2.857286707801031e-05
