Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,58,0.7,0.3,8,100,-0.12967433417690086,0.010382470893934376,0.1350193029893511,0.44574435278192637,0.031896406620784176,0.03277575616515308,6.9026181146021515e-06,2.5002863852943675e-05
R2,88,0.8,0.4,3,100,-0.13164987463600364,0.009635624445321508,0.1354242102572998,0.4415382338546424,0.03162797767926695,0.03307309248709727,7.608694719128776e-06,2.576481259072594e-05
R3,20,0.6,0.3,7,100,-0.13049825069536644,0.008199805856656202,0.1311260859290639,0.41140413529164355,0.03153306824517166,0.03235479502297272,9.018220869515019e-06,2.2727615340246806e-05
R4,64,0.7,0.4,4,100,-0.1320102437530267,0.01045162511432025,0.1372605311637216,0.449591622295947,0.032098840214327753,0.03334522135413328,6.938080611957383e-06,2.691374776911152e-05
R5,2,0.6,0.2,1,100,-0.20607490154582594,0.012143695139226637,0.1953865644326776,0.37803976119710214,0.04869835994307367,0.048929722360015526,6.964368497281632e-06,0.000119825133730868
R6,8,0.6,0.2,9,100,-0.14669182548003654,0.011455931949633203,0.15280388277558987,0.4070865156356775,0.03880610922837156,0.03711303589024655,1.667735432555496e-05,3.872138180458996e-05
R7,39,0.6,0.4,10,100,-0.12603454686588741,0.007779452889381135,0.13039887869328082,0.4178146957278717,0.0313050837116006,0.03197008397798151,1.43921206012206e-05,2.106785522302668e-05
R8,23,0.6,0.3,9,100,-0.14236223315161692,0.006245291537550041,0.13972315667883903,0.3832549654239456,0.033905880263993174,0.03499226527866968,1.7840141439911848e-05,2.929794963867488e-05
R9,1,0.6,0.2,1,100,-0.12768300480429332,0.009303342534219163,0.12858525317651032,0.42630795713821795,0.030646398375659564,0.03156540883830061,3.7351982174923845e-06,2.1466989834406555e-05
R10,68,0.8,0.2,5,100,-0.13231137071141186,0.008645953890900702,0.1382449796935665,0.4338811914891532,0.03251135301229256,0.033753577544467915,1.6201022862343572e-05,2.668154533591528e-05
R11,5,0.6,0.2,7,100,-0.13198608960050665,0.00872926231823191,0.13817846656246982,0.4347935357018124,0.032519123771215366,0.03370880933251662,1.6178788965993004e-05,2.6556975853191888e-05
R12,7,0.6,0.2,8,100,-0.132342489906292,0.008534622402124215,0.13793571060640317,0.43159487669484164,0.03249365208473228,0.03371200473722519,1.6136487857221122e-05,2.6494771361512517e-05
R13,45,0.7,0.2,6,100,-0.1318910451921046,0.008747900733079707,0.13812546378835847,0.4350824543755791,0.032505429463728364,0.03369016830471264,1.612342678142137e-05,2.6509113123440983e-05
R14,44,0.7,0.2,6,100,-0.13188963753354346,0.008749098385666778,0.1381281488872242,0.43510173792549867,0.03250591307046775,0.03369042301690527,1.6124937012471683e-05,2.6510232125287408e-05
R15,4,0.6,0.2,6,100,-0.13250927954811956,0.008753998249184042,0.13594030048196648,0.4323089888791797,0.031834533928224114,0.033328217142681575,1.118706534388065e-05,2.5908304026180113e-05
R16,12,0.6,0.3,1,100,-0.1328487795050607,0.008108226862243013,0.13710143079331016,0.42376434786335315,0.03243130046462525,0.03364345244160923,1.593755113224577e-05,2.6099586206854836e-05
R17,69,0.8,0.2,5,100,-0.13024678046630586,0.009608303497517245,0.13595028513015722,0.44538083334356415,0.031766203447430655,0.033074255484996776,1.043763022250398e-05,2.547980135229624e-05
R18,43,0.7,0.2,4,100,-0.13320511118441697,0.007907583423202379,0.13669732447044736,0.42059868955639435,0.03234725351651767,0.033616574028603574,1.5609034356186613e-05,2.597583825671359e-05
R19,99,0.8,0.4,9,100,-0.1265510616833369,0.009328816863719579,0.1266305090360657,0.415684610665034,0.03080906652636536,0.03111371059826045,2.978370319815737e-06,2.0152194845102102e-05
R20,48,0.7,0.2,9,100,-0.1335961077700348,0.00769498001489867,0.1365621033339558,0.41714080215164834,0.032367491566819936,0.03364352332380782,1.582563099765243e-05,2.594745627121349e-05
R21,32,0.6,0.4,3,100,-0.13334134545376045,0.007829474306294956,0.13632688730747305,0.4178057758286293,0.03234461957939719,0.03356615008596083,1.5219843826286024e-05,2.5792998171532872e-05
R22,74,0.8,0.2,10,100,-0.13161874805099674,0.008822999990054625,0.13648029730592606,0.4303174620203683,0.0323222449206828,0.033358818748220685,1.3487666882799554e-05,2.565566118550266e-05
R23,3,0.6,0.2,4,100,-0.13146846492245434,0.008778531191917766,0.13781790232104096,0.4346031446257743,0.03250899137129351,0.033600560893859155,1.6076531353254646e-05,2.6205851134201103e-05
R24,52,0.7,0.3,2,100,-0.13409780578225144,0.007408914003836937,0.1359537588632444,0.4118965781458462,0.03228988343261083,0.03359790560763705,1.538844730619937e-05,2.572316759333334e-05
R25,46,0.7,0.2,7,100,-0.1352478305578459,0.006788705185523152,0.13532365981763464,0.402484774914268,0.032231908844615215,0.03363092381129619,1.5520766034595078e-05,2.5566189027493892e-05
