Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.2662771013538246,0.024963056484974967,0.20531699982601054,0.3686214202721737,0.051630980001650825,0.47149999621454214,-0.00028238992654952067,0.00023166208485779236
R2,,0.6,0.2,1,,-0.29175878140027933,0.0271764632632451,0.231329090724967,0.36448523640165026,0.05938840556521485,0.522989454988999,-0.0003376854277471229,0.00034536727305450746
R3,,0.6,0.2,1,,-0.25194910402864673,0.022752557822470133,0.20259317035350358,0.38060479496683824,0.05001881211899667,0.45442535261273637,-0.00022001824131739396,0.000204362941043086
R4,,0.6,0.2,1,,-0.2390840617123074,0.017477285638663444,0.19824174279414558,0.4039438122007785,0.04494565288131658,0.4371518272623259,-0.0001574702553947256,0.0001821257344139917
R5,,0.8,0.2,1,,-0.2093393720281816,0.031763663775486776,0.12175401886937706,0.45924542960446263,0.02465892603156733,0.33090518746446235,-0.00029496513992249417,7.939947435398332e-05
R6,,0.8,0.2,1,,-0.19994440190684398,0.031893110562984994,0.1310161057118458,0.5119223857529164,0.02542458495412081,0.3305868895075413,-0.0002882984946873024,8.507086871937742e-05
R7,,0.8,0.2,1,,-0.24973976364132622,0.037571017437336825,0.1674508551396412,0.47402500222502186,0.03542971863702721,0.41686609631292904,-0.0004996569276660839,0.00019581165144063413
R8,,0.8,0.2,1,,-0.2883544531493024,0.020859973048065406,0.15677734340177424,0.30904886539496795,0.03627383720564224,0.4451131494208374,-0.00036291807859295083,0.0001558864224038633
R9,,0.8,0.4,1,,-0.25642188648882663,0.024190891202504696,0.17241872049268048,0.4162178401485286,0.03528797815846134,0.42866820893100366,-0.0003693044062125305,0.00018406832371322462
R10,,0.8,0.4,1,,-0.1819404335098041,0.011569123542944884,0.15205451642491008,0.407386952706525,0.033472170177025896,0.3338522065240081,-6.009513322213562e-05,6.204069354641105e-05
R11,,0.8,0.4,1,,-0.2573742791535602,0.02381793053237227,0.17584998112334316,0.41828946575900555,0.0359495553722395,0.43304188823431894,-0.0003669412395301729,0.00019160758888724403
R12,,0.8,0.4,1,,-0.24546777327875718,0.02347169544847507,0.17122783509996337,0.4327315694163328,0.034421946682186955,0.4164774871872616,-0.00033062330021420305,0.00016881393930018575
R13,,0.8,0.4,1,,-0.15506982603248476,0.005861508602498542,0.11641562124265524,0.36887607027709274,0.024559473833636717,0.2714274838984511,-3.562470051170852e-05,2.511677196924729e-05
