Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
G1,0.21756228065886282,0.235186548701991,0.0,0.0,0.19427363465252848,0.0,0.0,0.0,0.17290437695262076,0.0,0.0,0.0,0.0,0.18007315903399698,0.0,0.0,0.0,0.0
G2,0.0,0.0,0.0,0.22996208685426894,0.0,0.0,0.0,0.0,0.28150918326475216,0.0,0.20667088770104908,0.0,0.0,0.0,0.0,0.18076476217425289,0.0,0.10109308000567697
G3,0.0,0.0,0.0,0.2465400887228283,0.0,0.0,0.0,0.0,0.18324673655129933,0.16171010148849124,0.16494597535697678,0.0,0.24355709788040447,0.0,0.0,0.0,0.0,0.0
G4,0.285298343907044,0.12077866539147505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1295387861940419,0.0,0.25828624662520483,0.0,0.0,0.20609795788223428,0.0,0.0,0.0
G5,0.2024801374779737,0.0,0.17952842574837827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1752103819863388,0.0,0.2421706467307027,0.0,0.20061040805660665,0.0,0.0,0.0
G6,0.29187960810336827,0.12014091751909434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12876403657454655,0.0,0.25549798287580466,0.0,0.0,0.20371745492718613,0.0,0.0,0.0
G7,0.25456559967327624,0.15982976956065875,0.12747191672716854,0.26662389382851104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1915088202103855,0.0,0.0,0.0,0.0,0.0,0.0
G8,0.0,0.27451002110425954,0.0,0.0,0.0,0.0,0.0,0.11751121755382074,0.11725287348003188,0.0,0.23807016239079604,0.0,0.0,0.0,0.2526557254710918,0.0,0.0,0.0
G9,0.2525500573935067,0.16583567848022945,0.12692380383754776,0.2644691259410773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19022133434763877,0.0,0.0,0.0,0.0,0.0,0.0
G10,0.20682044870950855,0.0,0.0,0.0,0.10238070732512145,0.0,0.2811667649338853,0.26605997235013784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14357210668134684,0.0
G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23694942727043478,0.14746183245485825,0.2530001116875396,0.0,0.1221934866639404,0.0,0.0,0.0,0.0,0.24039514192322708
G12,0.0,0.0,0.0,0.0,0.23963349482053617,0.0,0.0,0.0,0.23622830479387427,0.14698605252870858,0.2551481393715815,0.0,0.12200400848529956,0.0,0.0,0.0,0.0,0.0
G13,0.0,0.0,0.1221906371662334,0.0,0.0,0.0,0.0,0.0,0.23692251773764222,0.14728444722893114,0.2532594491443581,0.0,0.0,0.0,0.0,0.0,0.0,0.24034294872283513
G14,0.15926758382753106,0.14366808002370957,0.23182623883503284,0.0,0.0,0.0,0.0,0.0,0.0,0.27825286104665126,0.0,0.0,0.0,0.0,0.18698523626707528,0.0,0.0,0.0
G15,0.2486324582763037,0.13749094856305483,0.0,0.0,0.0,0.0,0.0,0.23733263086471806,0.0,0.0,0.0,0.0,0.0,0.24986753836379227,0.0,0.1266764239321312,0.0,0.0
