Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.30664637123403177,0.02977255921153971,0.1810398507751294,0.37788195887414927,0.03853261553167471,0.007527160898012856,-0.000613589795696484,0.00028680596515431053
R2,,0.6,0.3,1,,-0.3267894549174176,0.033263867690114655,0.20496581902079417,0.37309151153085646,0.04687152335381673,0.008950967227634093,-0.000721053265544802,0.00039531871217905143
R3,,0.6,0.4,1,,-0.19345035187692927,0.00835161795728858,0.12011895474371706,0.3703233217467387,0.02186498388875982,0.0031710800873159762,-0.00011195390980429366,4.625094987195417e-05
R4,,0.7,0.2,1,,-0.2254755271438506,0.022495888176314056,0.15700739713893624,0.39174589025139234,0.03592137280425012,0.004830121924421082,-0.00022984048544113202,0.00010891603797900629
R5,,0.7,0.2,1,,-0.27209136797744254,0.02576825055898264,0.1992501537659019,0.4361161751711218,0.040941293794043786,0.007764977489056681,-0.00042683861691222174,0.00027423148959152
R6,,0.7,0.3,1,,-0.17363242771707815,0.010868691188686917,0.10924863540089387,0.4541703471850634,0.015883580610334173,0.0028319050885214467,-0.00011612254627622998,3.783567543294538e-05
R7,,0.7,0.3,1,,-0.17291526076773794,0.01081610579589375,0.10822547379346305,0.46085510749343706,0.01517513813409158,0.0028161022591019127,-0.00011716557109156848,3.748184894972309e-05
R8,,0.7,0.4,1,,-0.3162247514426362,0.033703414360595,0.19975366315985643,0.4074649662881469,0.04203995597230659,0.00883819965111991,-0.0007435972783490907,0.00038672445288519914
R9,,0.8,0.2,1,,-0.1976252820743849,0.0138396175943606,0.1367259542744074,0.43034162870400533,0.024985272136960744,0.0038837003069055755,-0.00015046294561111184,6.863164684448218e-05
R10,,0.8,0.4,1,,-0.2735556326821105,0.03339200244968975,0.17654921356950454,0.42343378949101496,0.03802348264146105,0.006859460035999637,-0.000529937763606328,0.00023428552812405963
R11,,0.8,0.4,1,,-0.3226112778050049,0.021442890255736306,0.22611665037502932,0.3468030736333004,0.05313078836440952,0.009560354761664778,-0.0004530667264272687,0.000401471012512768
