Rep,cp,mp,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,0.8,0.2,-0.11613874566250311,0.0137107248804919,0.1365558301011236,0.5853077594061,0.028484891687885712,0.004915300395303171,2.0040557617189403e-06,4.39773828061295e-05
R2,0.8,0.3,-0.11921390973398459,0.013377634597584459,0.1324370535403105,0.5317600101409449,0.029226245888820536,0.004712020510545485,-7.087870514450137e-06,4.067479612594189e-05
R3,0.8,0.2,-0.1351139057315428,0.01728508622437222,0.1415293586075799,0.5377894051932293,0.031033948391189867,0.0055592541615427865,-3.1214976031089964e-05,5.81320012503756e-05
R4,0.7,0.4,-0.14908626473583403,0.00925435264905446,0.13334167301045255,0.38781377643663306,0.03183686646837827,0.005096695247070021,-3.818632216070478e-05,4.93287103129458e-05
R5,0.8,0.3,-0.12165097089589919,0.013055431755121668,0.13860675070018486,0.5182077611596121,0.03141438664902693,0.005039768617118919,-1.6870561440085064e-06,4.626521677844034e-05
R6,0.6,0.2,-0.11828239907478968,0.01569138167977333,0.12585948689693172,0.5841071839874524,0.025764266183752393,0.004470503710841266,-2.2145939358145365e-05,3.723458241441649e-05
R7,0.8,0.2,-0.11789047416731911,0.016466732136677965,0.1213502067663555,0.5690457458440381,0.025525766277077064,0.0042231550509310555,-2.855762695415814e-05,3.356193359561241e-05
R8,0.6,0.4,-0.17970479972531256,0.0175248055784972,0.1693376725083269,0.5549912996923146,0.031142937060276644,0.008704366021545566,-9.299591287637699e-05,0.00014674124343732418
R9,0.7,0.3,-0.1444355343747651,0.01828371434078874,0.13088047771594238,0.4724322922722394,0.030414301225880992,0.005065322556925961,-5.9943618741317586e-05,5.040977436909737e-05
R10,0.6,0.3,-0.11698228099803869,0.014772766064628634,0.13895253220863701,0.5355434956961008,0.032232124205492076,0.004932594561611941,7.469114666504428e-07,4.422554389273156e-05
R11,0.8,0.3,-0.2949585304540728,0.019929482137074767,0.22615327059951293,0.37515080273963014,0.05195989567073211,0.015125295306420223,-0.000388269329172296,0.0004976444415475856
R12,0.6,0.3,-0.12504872212316565,0.010133330828666251,0.10036730144540564,0.682908155527498,0.009514474767456007,75.58561829755342,-5.457858066224594e-05,1139763.8443190733
R13,0.8,0.3,-0.11692452998470128,0.015847707480456854,0.12211439867415083,0.54110806912322,0.027015828274651578,0.0041752049931413114,-2.3053596307798357e-05,3.262631341127411e-05
R14,0.7,0.4,-0.22045722480454916,0.013992182891030075,0.17874685224626516,0.590204320285256,0.022287222625374546,0.011357439654931504,-0.00022154976283916144,0.00025662545268623893
R15,0.6,0.2,-0.11626189002663002,0.012956116060482371,0.11820738926123746,0.5298358115561332,0.02497928410245193,0.004011570416085721,-1.8849481011312458e-05,2.9962562470941272e-05
R16,0.8,0.3,-0.11468537275727052,0.013621676551138039,0.11984355300067044,0.5315659352253315,0.026033228320965066,0.004032275137124745,-1.6674803172099205e-05,3.016468164636498e-05
R17,0.7,0.4,-0.24151590178202373,0.013923502970990612,0.21632608011012372,0.4084307141730431,0.04874001103241341,0.013039759263595806,-0.00015248046073254216,0.00034135102675263704
R18,0.7,0.2,-0.11619633751602645,0.00802392955523352,0.11544066075273751,0.665859432422421,0.015438569166857447,0.004194473993884793,-1.4378725230993518e-05,3.240725387895499e-05
R19,0.6,0.3,-0.11585066201137562,0.016261912297816292,0.12925396024591157,0.5521483439877963,0.029162196274676026,0.004472802262882012,-1.4426166366170732e-05,3.6975238178254894e-05
R20,0.7,0.4,-0.15474592797423037,0.01072780322151366,0.14119707851729607,0.49787951494189364,0.026778257811743287,0.006131088741834188,-4.434822471301396e-05,7.165785074196522e-05
R21,0.6,0.3,-0.11738461256897595,0.013465961443640078,0.13993175627032017,0.5473159126490029,0.031189941738141644,0.005038859827858564,5.395127490286802e-06,4.600207721801988e-05
R22,0.8,0.2,-0.11500514419239483,0.011988282067913525,0.12836983691815243,0.5683126589803031,0.026082915190357527,0.004509095284547124,-3.315300308084608e-06,3.709745650912825e-05
R23,0.6,0.4,-0.1893780054022857,0.019054650060125303,0.19108191640176106,0.5280450964895537,0.0393306958452821,0.01023573009141926,-7.255273270584635e-05,0.00020191358073375749
R24,0.7,0.3,-0.11863908643087737,0.00861892307454052,0.1232900457813351,0.44783274430009673,0.028538633863958822,0.004162562765570709,-8.574069503158016e-06,3.143930744644478e-05
R25,0.8,0.4,-0.18676959052496786,0.01782466893167738,0.18268662810022718,0.45500346214966847,0.04248813697380564,0.009127847668052181,-7.271265193403703e-05,0.00016157755729303433
