Rep,cp,mp,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,0.6,0.2,-0.1235744441890511,0.013938186341722312,0.12229359118916187,0.4926999596005072,0.027538688264169817,0.04538920703475077,-2.5313112102711208e-05,3.423876659348782e-05
R2,0.6,0.3,-0.1142151738834433,0.010280981068359635,0.12196336733708794,0.5344915713601683,0.024989514377613334,0.04336429520398434,-5.9820337016950175e-06,3.1744127790461e-05
R3,0.6,0.2,-0.12191115766114295,0.015109667050952869,0.12809557248229586,0.5443106628644764,0.02754369681891125,0.04829461954691117,-2.136060200917588e-05,3.934433487142869e-05
R4,0.6,0.2,-0.1393337001605573,0.020209517578975916,0.13390610959090687,0.4936050619325854,0.031907808187829644,0.052725678213321914,-5.5258171296404536e-05,5.087178312378253e-05
R5,0.6,0.3,-0.11417252734252885,0.011286438964320383,0.13266623897523375,0.5604604528644413,0.02764860016005433,0.0450602826512962,5.2681053312722275e-06,3.951200660357985e-05
R6,0.6,0.4,-0.14676587820140186,0.0097652159740837,0.13479684257355995,0.3884117855082754,0.03289707983956407,0.04378997816847757,-3.548666116726349e-05,4.9154587349505536e-05
R7,0.7,0.4,-0.1334910002779166,0.006969914002870392,0.10959333473497637,0.39231400516668957,0.024034540482565387,0.03957784210054929,-3.027815353528081e-05,2.6910466764162354e-05
R8,0.8,0.2,-0.11314370478205509,0.01712027075623444,0.12712456286894286,0.6091356284699968,0.026645839317332186,0.049311212307170525,-1.772892070972731e-05,3.58707757068769e-05
R9,0.7,0.4,-0.11819356521227918,0.008298311699917238,0.12397915233412624,0.4545707393147503,0.028297797821964062,0.03953022321374043,-6.667271143792149e-06,3.204133752384152e-05
R10,0.8,0.3,-0.11445658599095182,0.013961577446704296,0.1271524877857961,0.5331757014652879,0.0285461635201055,0.044658576512997566,-8.958746119381183e-06,3.4517465951214124e-05
R11,0.6,0.4,-0.12420225586930861,0.011796777084449189,0.11542617900880547,0.7004324934378213,0.014258286200432626,0.05601994911561965,-4.2013331533736295e-05,3.7456216024404875e-05
R12,0.6,0.2,-0.1409303213067327,0.019929257944247554,0.1354564288985265,0.5134725870185793,0.03080827449598695,0.05457448322036047,-5.791434170803351e-05,5.483730008454415e-05
R13,0.7,0.2,-0.11554363068817068,0.013270105833126749,0.12566305651772358,0.6121203716994689,0.023673621288310128,0.048910437249975486,-1.2324957873469148e-05,3.6723564477104254e-05
R14,0.7,0.3,-0.11928067260454146,0.012570118871849476,0.12302592879380786,0.572065646362633,0.023711034568862276,0.04797974462700477,-1.796536761395568e-05,3.5863394261970014e-05
R15,0.8,0.2,-0.11735425387091171,0.009533061921028959,0.1335909936323893,0.5881375246438528,0.025095549150801637,0.04699038380527552,7.831650497298039e-06,4.3228105367926705e-05
R16,0.7,0.2,-0.2728464637348603,0.021336415400458525,0.23401621607210074,0.5877565959046606,0.03386096518353598,0.10890077739874793,-0.00040584162972540295,0.0006555970951728038
R17,0.6,0.2,-0.13379209486639768,0.01011497016438825,0.10606605077576375,0.7260459545385315,0.007643407411002262,0.060533233266694624,-6.959602400968269e-05,1171025.1801906794
R18,0.8,0.3,-0.1158173602880742,0.015926349650179073,0.13806370928250655,0.5237492891599509,0.033362513715649134,0.04528348260591823,-2.22681982611196e-06,4.213811563048782e-05
R19,0.7,0.2,-0.11568411127636849,0.0164259897868784,0.13051717999434392,0.532884999474227,0.030677449970396148,0.0459261400299273,-1.2648697308904303e-05,3.697713384645337e-05
R20,0.8,0.2,-0.11199045750784146,0.019542959467737077,0.1197691251438417,0.5951523093519023,0.026421220771530037,0.04907519890797626,-3.119863670231302e-05,3.0242295824582993e-05
R21,0.6,0.3,-0.11539306925027516,0.01099679427091267,0.12664936551520184,0.5435811006422031,0.02620475130727793,0.04450892868167494,-3.499740501380948e-06,3.5475629131389985e-05
R22,0.6,0.4,-0.2340311365407834,0.018894834099062008,0.19252115904795541,0.4203588483031772,0.04258837299072035,0.0748540904653375,-0.0002051145608942186,0.000255769240045934
R23,0.8,0.2,-0.11898066067321829,0.013171844188539542,0.13668236089382527,0.5599274143670625,0.0290426808376927,0.047435418896973724,-2.7031504235525315e-07,4.494961498274474e-05
R24,0.8,0.4,-0.21114934818359338,0.020135349321711866,0.18737560815060947,0.44925645787041485,0.0419859039713351,0.07169617454287347,-0.00014858877431853584,0.00020969928028164518
R25,0.7,0.3,-0.18473314857095147,0.016380430295730497,0.1797994442939666,0.5158706843281953,0.036062325017189936,0.06844158979407078,-7.03637106974289e-05,0.000167655980395411
