Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.0,0.0,0.0,0.0,0.060309946120363105,0.0,0.0,0.0,0.09671225449186556,0.1313360027083851,0.0,0.0,0.0,0.0,0.2498445513631561,0.0,0.0,0.46179724531623023
R2,0.0,0.0,0.0,0.0,0.10674916807245101,0.0,0.0,0.0,0.12822072236630686,0.15468072767903895,0.0,0.0,0.0,0.0,0.2123422627348892,0.0,0.0,0.3980071191473141
R3,0.06044562116209124,0.0,0.0,0.0,0.12809661536460615,0.0,0.0,0.0,0.0,0.14056193573670198,0.0,0.0,0.0,0.0,0.25146345861503816,0.0,0.0,0.4194323691215626
R4,0.06625041082322368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713516515978417,0.5044300606068581,0.0,0.0,0.0,0.0,0.0,0.0,0.05938556338952105,0.09858231358255552
R5,0.0,0.0,0.0,0.0,0.11369705299400279,0.0,0.0,0.0,0.1316067397289282,0.08290269978604145,0.0,0.0,0.0,0.0,0.2784252879944227,0.0,0.0,0.393368219496605
R6,0.0,0.0,0.0,0.0,0.1663639820559759,0.0,0.0,0.0,0.32741379437040247,0.10084705231073396,0.04928434178100251,0.0,0.0,0.0,0.0,0.0,0.0,0.35609082948188514
R7,0.0,0.0,0.0,0.0,0.15739517913334738,0.0,0.0,0.0,0.08362905959075571,0.12448044958243812,0.0,0.0,0.0,0.0,0.1901563875473804,0.0,0.0,0.4443389241460784
R8,0.17968160049149665,0.0,0.0,0.0,0.05296320139354587,0.0,0.0,0.0,0.22841566331510277,0.0,0.0,0.0,0.0,0.0,0.41875115397984686,0.0,0.0,0.12018838082000782
R9,0.0,0.0,0.0,0.0,0.2066285855555754,0.0,0.0,0.0,0.21339646182691344,0.0,0.0,0.0,0.08847173826952738,0.0,0.15629578204749112,0.0,0.0,0.33520743230049255
R10,0.0,0.0,0.0,0.0,0.09628150249613376,0.0,0.0,0.0,0.14840724935878136,0.1023391144591643,0.0,0.0,0.0,0.0,0.2167151611760728,0.0,0.0,0.43625697250984774
R11,0.28766294035857337,0.0,0.0,0.0,0.0,0.1620128723450792,0.0,0.0,0.0,0.11665645106851451,0.0,0.0,0.0,0.14781313546059058,0.0,0.0,0.28585460076724223,0.0
R12,0.0,0.0,0.0,0.0,0.12713689740032097,0.0,0.0,0.0,0.17129931413932753,0.1101057514496511,0.18316236671897676,0.0,0.0,0.0,0.0,0.0,0.0,0.4082956702917237
R13,0.0,0.0,0.0,0.0,0.12314126381418945,0.0,0.0,0.0,0.12939349913565895,0.19936231180524552,0.0,0.0,0.0,0.0,0.14027775788724092,0.0,0.0,0.407825167357665
R14,0.2680749074726801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11759556843275072,0.4224183533144618,0.0,0.0,0.0,0.0,0.0,0.0,0.17378738736887783,0.018123783411229333
R15,0.0,0.0,0.0,0.0,0.13560849433265532,0.0,0.0,0.0,0.220422010170668,0.10352438911079793,0.08950904490269124,0.0,0.0,0.0,0.0,0.0,0.0,0.4509360614831875
R16,0.0,0.0,0.0,0.0,0.11199632153578662,0.0,0.0,0.0,0.13905217437439113,0.24453758763068653,0.0,0.0,0.0,0.0,0.09024625008772119,0.0,0.0,0.4141676663714146
R17,0.3262315615585967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033382942273422644,0.4181119118759558,0.022243063861322247,0.0,0.0,0.0,0.0,0.0,0.20003052043070263,0.0
R18,0.0,0.0,0.0,0.0,0.02822041727484794,0.0,0.0,0.0,0.3246475051819962,0.369521088405493,0.0,0.0,0.0,0.0,0.013078860812268523,0.0,0.0,0.2645321283253943
R19,0.0,0.0,0.0,0.0,0.11952467202545473,0.0,0.0,0.0,0.1131508182699807,0.1211348630184913,0.0,0.0,0.0,0.0,0.18763093613074525,0.0,0.0,0.4585587105553281
R20,0.09437166532831202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30262675714031145,0.4904901613000924,0.0,0.0,0.0,0.0,0.0,0.0,0.04524529794354457,0.06726611828773955
R21,0.0,0.0,0.0,0.0,0.08662624665232842,0.0,0.0,0.0,0.15805913410161634,0.08435729551404036,0.0,0.0,0.0,0.0,0.23691102601063613,0.0,0.0,0.43404629772137876
R22,0.0,0.0,0.0,0.0,0.029585353896876238,0.0,0.0,0.0,0.13278211449915178,0.20324254222326335,0.0,0.0,0.0,0.0,0.20150742958494777,0.0,0.0,0.4328825597957608
R23,0.20156937698718663,0.0,0.0,0.0,0.04232162392148409,0.0,0.0,0.0,0.24528710175241714,0.0,0.0,0.0,0.0,0.0,0.4619460640114642,0.0,0.0,0.04887583332744792
R24,0.0,0.0,0.0,0.0,0.13632475258838428,0.0,0.0,0.0,0.2544458079465371,0.20535816223577513,0.0,0.0,0.0,0.0,0.07912876934198834,0.0,0.0,0.32474250788731523
R25,0.13006752744094804,0.11908416763305783,0.0,0.0,0.0,0.0,0.0,0.0,0.31761751315249936,0.024489516108049506,0.0,0.0,0.0,0.0,0.40874127566544527,0.0,0.0,0.0
